Date,Clicks,Impressions,CTR,Position
2025-11-06,5,331,1.51%,8.75
2025-11-05,12,293,4.1%,11.96
2025-11-04,11,370,2.97%,7.72
2025-11-03,6,246,2.44%,9.49
2025-11-02,11,289,3.81%,9.71
2025-11-01,7,339,2.06%,9.2
2025-10-31,7,249,2.81%,12.11
2025-10-30,5,416,1.2%,8.43
2025-10-29,6,363,1.65%,8.13
2025-10-28,8,303,2.64%,7.09
2025-10-27,8,223,3.59%,9.59
2025-10-26,10,299,3.34%,9.89
2025-10-25,4,251,1.59%,9.82
2025-10-24,7,461,1.52%,8.32
2025-10-23,9,482,1.87%,9.08
2025-10-22,5,184,2.72%,8.22
2025-10-21,6,240,2.5%,10.43
2025-10-20,5,267,1.87%,8.8
2025-10-19,10,272,3.68%,9.3
2025-10-18,14,292,4.79%,7.27
2025-10-17,5,632,0.79%,6.22
2025-10-16,6,252,2.38%,7.6
2025-10-15,7,238,2.94%,7.37
2025-10-14,5,137,3.65%,8.93
2025-10-13,4,153,2.61%,8.27
2025-10-12,3,201,1.49%,7.89
2025-10-11,6,139,4.32%,8.78
2025-10-10,2,120,1.67%,9.85